[kkalyan3@helios1 log]$ cat new_grid_exp1_cifar10_5_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.693022  Std Dev (0.089200) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 150, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.685511  Std Dev (0.090196) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 200, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.693333  Std Dev (0.093058) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 200, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.459000  Std Dev (0.338974) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 250, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.685289  Std Dev (0.104448) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 250, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.426289  Std Dev (0.322815) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 300, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.706689  Std Dev (0.084532) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 300, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.438467  Std Dev (0.328358) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 350, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.696778  Std Dev (0.096685) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 350, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.470200  Std Dev (0.343596) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 400, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.692511  Std Dev (0.103108) with param: {'act_layer1': 'sigmoid', 'epochs': 50, 'hu_1': 400, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.699333  Std Dev (0.111122) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 100, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.704489  Std Dev (0.099870) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 100, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.681467  Std Dev (0.079140) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 150, 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.704911  Std Dev (0.099049) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 150, 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.670133  Std Dev (0.134622) with param: {'act_layer1': 'sigmoid', 'epochs': 90, 'hu_1': 200, 'drop_out1': 0.5, 'lr': 0.1}
