[kkalyan3@helios1 log]$ cat new_grid_exp2_mnist_21_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.688111  Std Dev (0.427879) with param: {'lr': 0.01, 'hu_1': 400, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 50}
INFO:root:Mean Acc : 0.684389  Std Dev (0.425312) with param: {'lr': 0.1, 'hu_1': 100, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.686750  Std Dev (0.426857) with param: {'lr': 0.01, 'hu_1': 100, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.684722  Std Dev (0.425556) with param: {'lr': 0.1, 'hu_1': 150, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.688306  Std Dev (0.428017) with param: {'lr': 0.01, 'hu_1': 150, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.682972  Std Dev (0.424190) with param: {'lr': 0.1, 'hu_1': 200, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.685778  Std Dev (0.426228) with param: {'lr': 0.01, 'hu_1': 200, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.686278  Std Dev (0.426641) with param: {'lr': 0.1, 'hu_1': 250, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.686278  Std Dev (0.426642) with param: {'lr': 0.01, 'hu_1': 250, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.686250  Std Dev (0.426626) with param: {'lr': 0.1, 'hu_1': 300, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.685139  Std Dev (0.425719) with param: {'lr': 0.01, 'hu_1': 300, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.686028  Std Dev (0.426467) with param: {'lr': 0.1, 'hu_1': 350, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.686778  Std Dev (0.426996) with param: {'lr': 0.01, 'hu_1': 350, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 90}
INFO:root:Mean Acc : 0.386139  Std Dev (0.418318) with param: {'lr': 0.1, 'hu_1': 400, 'drop_out1': 0.5, 'act_layer1': 'sigmoid', 'epochs': 90}
