[kkalyan3@helios1 log]$ cat new_grid_exp1_mnist_21_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.709086  Std Dev (0.400523) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710371  Std Dev (0.401432) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.705371  Std Dev (0.397900) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.707400  Std Dev (0.399337) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.163371  Std Dev (0.101092) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710857  Std Dev (0.401836) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.360829  Std Dev (0.449068) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.709914  Std Dev (0.401109) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.128257  Std Dev (0.052187) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710229  Std Dev (0.401332) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.127514  Std Dev (0.059329) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.709714  Std Dev (0.400909) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.709314  Std Dev (0.400745) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710257  Std Dev (0.401351) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710057  Std Dev (0.401270) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710629  Std Dev (0.401614) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710886  Std Dev (0.401796) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.711114  Std Dev (0.402018) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.446571  Std Dev (0.387422) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.711143  Std Dev (0.402099) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.709000  Std Dev (0.400464) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710514  Std Dev (0.401534) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.505857  Std Dev (0.356546) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.711029  Std Dev (0.401897) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710029  Std Dev (0.401250) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710971  Std Dev (0.401857) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.709571  Std Dev (0.400866) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710914  Std Dev (0.401755) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710686  Std Dev (0.401715) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.711200  Std Dev (0.402078) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.709514  Std Dev (0.400886) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.711029  Std Dev (0.401897) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.709029  Std Dev (0.400483) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.711371  Std Dev (0.402139) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.709200  Std Dev (0.400667) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.710714  Std Dev (0.401614) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.183971  Std Dev (0.029558) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
