[kkalyan3@helios1 log]$ cat new_grid_exp1_cifar10_21_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.716533  Std Dev (0.105380) with param: {'hu_1': 250, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.403289  Std Dev (0.288458) with param: {'hu_1': 300, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.711378  Std Dev (0.099429) with param: {'hu_1': 300, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.444867  Std Dev (0.332247) with param: {'hu_1': 350, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.719311  Std Dev (0.100780) with param: {'hu_1': 350, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.310222  Std Dev (0.227894) with param: {'hu_1': 400, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.711111  Std Dev (0.100197) with param: {'hu_1': 400, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.671133  Std Dev (0.116512) with param: {'hu_1': 100, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.702022  Std Dev (0.105891) with param: {'hu_1': 100, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.671889  Std Dev (0.092886) with param: {'hu_1': 150, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.713333  Std Dev (0.088817) with param: {'hu_1': 150, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.651489  Std Dev (0.121340) with param: {'hu_1': 200, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.712111  Std Dev (0.076206) with param: {'hu_1': 200, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.363578  Std Dev (0.257127) with param: {'hu_1': 250, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.717467  Std Dev (0.095690) with param: {'hu_1': 250, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.281578  Std Dev (0.211961) with param: {'hu_1': 300, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.712222  Std Dev (0.086005) with param: {'hu_1': 300, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.437578  Std Dev (0.327621) with param: {'hu_1': 350, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.714267  Std Dev (0.082914) with param: {'hu_1': 350, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.321022  Std Dev (0.231044) with param: {'hu_1': 400, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.717600  Std Dev (0.081234) with param: {'hu_1': 400, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.700333  Std Dev (0.086557) with param: {'hu_1': 100, 'epochs': 130, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.681222  Std Dev (0.101808) with param: {'hu_1': 100, 'epochs': 130, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.669889  Std Dev (0.090952) with param: {'hu_1': 150, 'epochs': 130, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.680778  Std Dev (0.102779) with param: {'hu_1': 150, 'epochs': 130, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.680733  Std Dev (0.139630) with param: {'hu_1': 200, 'epochs': 130, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
