[kkalyan3@helios1 log]$ cat new_grid_exp2_mnist_5_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.684389  Std Dev (0.425011) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.681000  Std Dev (0.422673) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.684028  Std Dev (0.424755) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.647194  Std Dev (0.400918) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.685000  Std Dev (0.425446) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.439139  Std Dev (0.278571) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.684778  Std Dev (0.425289) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.244722  Std Dev (0.174775) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.683722  Std Dev (0.424540) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.138972  Std Dev (0.108006) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
