[kkalyan3@helios1 log]$ cat new_grid_exp2_cifar10_21_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.684761  Std Dev (0.103906) with param: {'act_layer1': 'sigmoid', 'hu_1': 250, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.306565  Std Dev (0.228966) with param: {'act_layer1': 'sigmoid', 'hu_1': 300, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.717000  Std Dev (0.079865) with param: {'act_layer1': 'sigmoid', 'hu_1': 300, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.318304  Std Dev (0.241701) with param: {'act_layer1': 'sigmoid', 'hu_1': 350, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.724804  Std Dev (0.097091) with param: {'act_layer1': 'sigmoid', 'hu_1': 350, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.427543  Std Dev (0.302529) with param: {'act_layer1': 'sigmoid', 'hu_1': 400, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.708935  Std Dev (0.090138) with param: {'act_layer1': 'sigmoid', 'hu_1': 400, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 50}
INFO:root:Mean Acc : 0.680109  Std Dev (0.086006) with param: {'act_layer1': 'sigmoid', 'hu_1': 100, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.697239  Std Dev (0.101466) with param: {'act_layer1': 'sigmoid', 'hu_1': 100, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.630370  Std Dev (0.126140) with param: {'act_layer1': 'sigmoid', 'hu_1': 150, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.718674  Std Dev (0.103584) with param: {'act_layer1': 'sigmoid', 'hu_1': 150, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.634935  Std Dev (0.110782) with param: {'act_layer1': 'sigmoid', 'hu_1': 200, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.698826  Std Dev (0.096001) with param: {'act_layer1': 'sigmoid', 'hu_1': 200, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.467609  Std Dev (0.340987) with param: {'act_layer1': 'sigmoid', 'hu_1': 250, 'lr': 0.1, 'drop_out1': 0.5, 'epochs': 90}
INFO:root:Mean Acc : 0.712500  Std Dev (0.088598) with param: {'act_layer1': 'sigmoid', 'hu_1': 250, 'lr': 0.01, 'drop_out1': 0.5, 'epochs': 90}
