[kkalyan3@helios1 log]$ cat new_grid_exp1_mnist_5_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.704486  Std Dev (0.397392) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 200, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.706600  Std Dev (0.398767) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 200, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.071686  Std Dev (0.051060) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 250, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.669971  Std Dev (0.375880) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 250, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.398114  Std Dev (0.238482) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 300, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.706514  Std Dev (0.398766) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 300, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.223486  Std Dev (0.100145) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 350, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.706600  Std Dev (0.398765) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 350, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.494086  Std Dev (0.306554) with param: {'epochs': 130, 'lr': 0.1, 'hu_1': 400, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.706257  Std Dev (0.398523) with param: {'epochs': 130, 'lr': 0.01, 'hu_1': 400, 'act_layer1': 'sigmoid', 'drop_out1': 0}
INFO:root:Mean Acc : 0.671286  Std Dev (0.376720) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 100, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.709286  Std Dev (0.400786) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 100, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.671829  Std Dev (0.376783) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 150, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.709743  Std Dev (0.401048) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 150, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.708200  Std Dev (0.400080) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 200, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.672400  Std Dev (0.377459) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 200, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.410143  Std Dev (0.235291) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 250, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.671800  Std Dev (0.377042) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 250, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.297914  Std Dev (0.152068) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 300, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.709257  Std Dev (0.400705) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 300, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.194857  Std Dev (0.086616) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 350, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.709571  Std Dev (0.400927) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 350, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.085029  Std Dev (0.009384) with param: {'epochs': 50, 'lr': 0.1, 'hu_1': 400, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.708657  Std Dev (0.400280) with param: {'epochs': 50, 'lr': 0.01, 'hu_1': 400, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.707000  Std Dev (0.399170) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 100, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.708114  Std Dev (0.399899) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 100, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.675914  Std Dev (0.379245) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 150, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.707286  Std Dev (0.399315) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 150, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.674314  Std Dev (0.378378) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 200, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.708686  Std Dev (0.400362) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 200, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.408714  Std Dev (0.191952) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 250, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.708400  Std Dev (0.400099) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 250, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.176543  Std Dev (0.098010) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 300, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.670829  Std Dev (0.376386) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 300, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.132000  Std Dev (0.044788) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 350, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.708571  Std Dev (0.400221) with param: {'epochs': 90, 'lr': 0.01, 'hu_1': 350, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
INFO:root:Mean Acc : 0.056143  Std Dev (0.041833) with param: {'epochs': 90, 'lr': 0.1, 'hu_1': 400, 'act_layer1': 'sigmoid', 'drop_out1': 0.5}
